	English	Swedish	French	Italian	German	Spanish	Russian	Romanian	Bulgarian	Macedonian	Finnish	Danish	Norwegian	Icelandic	Turkish	Lithuanian	Czech	Hungarian	Slovak	Polish	Dutch	Portuguese_European	Portuguese_Brazilian	Chinese	Japanese	Korean	Hindi	Thai	Abenaki	Croatian	Georgian	Greek	Serbian	Ukrainian
SwordIronGreat_Name	Iron Great Sword		Espadon en fer			Espada Bastada de Hierro	Большой железный меч																	铁大剑										
SwordIronGreat_Desc	A wavy great sword of death, the design is foreign but quite effective.		Une grande épée de la mort, la conception est étrangère mais assez efficace.			Una espada de la muerte ondulada, Su diseño es un poco extraño pero efectivo	Волнистый двуручный меч смерти, внешний вид немного запредельный, но весьма эффективный.																	一把波浪形的死亡大剑，设计很陌生但很有效。										
SwordFlametalGreatIron_Name	Heavy Iron Great Sword		Espadon en fer lourd			Espada Bastada de Hierro pesada	Большой тяжелый железный меч																	重铁大剑										
SwordFlametalGreatIron_Desc	Another foreign design that is heavier towards the end, and in general. Harder to swing but stonger than a normal iron great sword.		Un autre design étranger qui est plus lourd en général. Plus difficile à balancer mais plus solide qu'un espadon de fer normale.			Otro diseño extranjero con el peso en la punta, dificil de blandir pero mas fuerte que su hermana pequeña	Еще один запредельный замысел, который имеет тяжесть на конце и в целом. Им труднее размахивать, тем не менее он сильнее, чем обычный большой железный меч.																	另一种外国设计，最后更重，总体而言。 比普通的铁制大剑更难挥动但更坚固。										
SwordSilverGreat_Name	Silver Great Sword		Espadon en argent			Espada Bastarda de plata	Большой серебряный меч																	银色大剑										
SwordSilverGreat_Desc	A large silvered ceremonial sword, noble warriors would not choose to give up their personal safety by choice.  However the range, and pure silver make this great for hordes of undead.					Una larga espada ceremonial, Normalmente los nobles no eligen un arma que les deje desprotegida, ademas la plata es buena contra los muertos vivientes.	Большой посеребренный церемониальный меч, по своей воле даже благородные воины не захотят отказатся от своей личной безопасности. Однако дальность и чистое серебро делают его отличным оружием против полчищ нежити.																	一把银色的大礼剑，高贵的武者不会选择放弃自己的人身安全。 然而，射程和纯银使它非常适合成群的不死生物。										
MaceSilverGreat_Name	Great Silver Mace		Masse d'argent			Gran maza de plata	Большая серебряная булава																	大银锤										
MaceSilverGreat_Desc	Forged with silver and enchanted, its weight of the silver makes it great against the undead, from the purifying metal and density. The enchantments give it the ability freeze those it hits.					Forjada  y encantada con plata, su peso y material la convierte en un arma muy deseada para acabar con los no-muerto, los encantamientos le otorgan el poder de congelar	Выкованная из серебра и зачарованная, именно такой вес серебра делает её отличным оружием против нежити, благодаря очищающему металлу и его плотности. Чары свою очередь дают ей возможность замораживать пораженных врагов.																	用银锻造并附魔，银的重量使其从净化金属和密度上可以很好地对抗不死生物。 附魔使它能够冻结它击中的人。										
AxeSilverBattle_Name	Silver Battleaxe		Hache de combat en argent			Hacha de guerra de plata	Серебряный боевой топор																	银色战斧										
AxeSilverBattle_Desc	Purest of metals, this battleaxe is touched by the fury of the sky making it cackle with electricity.  It can make due to sunder trees as well.					Forjada con el mas puro de los metales, Este hacha de batalla es tocada por la furia del cielo, haciendola crepitar con la electricidad.	Боевой топор из чистого металла, пораженный яростью неба, заставляющего его излучать электрические разряды. Искри также могут появится и при рубки деревьев.																	最纯净的金属，这把战斧被天空的愤怒所触动，使其发出电流声。 它也可能因树木被破坏而产生。										
SwordBlackMetalGreat_Name	Black Metal Great Sword		Espadon en metal sombre			Espada Bastarda de metal oscuro	Большой меч из черного металла																	黑金属大剑										
SwordBlackMetalGreat_Desc	A simple and yet crude great sword, it shines green giving it beautiful gleam.					Una gran espada algo tosca y simple,  Brilla con un tenue verde  que la convierte en un arma hermosa.	Простой и в то же время грубый большой меч, он имеет зеленое сияние, придающие ему прекрасные отблески.																	简单粗暴的大剑，闪烁着绿色的光芒，散发着美丽的光芒。										
AxeBlackMetalBattle_Name	Black Metal Battleaxe					Hacha de guerra de  metal oscuro	Боевой топор из черного металла																	黑金属战斧										
AxeBlackMetalBattle_Desc	A heavy-ended battleaxe forged from dark metal with an emerald sheen.					Un hacha de batalla  pesada forjada en metal oscuro y con un brillo verde esmeralda.	Боевой топор с тяжелым наконечником, выкованный из темного металла и доведённый до изумрудного блеска.																	一把重头战斧，由带有祖母绿光泽的深色金属锻造而成。										
MaceCoreGreat_Name	Great Core Mace					Gran maza del nucleo	Большая булава с ядром																	大核心钉头锤										
MaceCoreGreat_Desc	An extremely heavy mace made with dark iron and a surling core ignited with the essence of a Surtling. Smash and burn those that oppose you.					Una maza extremadamente pesada forjada con hierro oscuro y un nucleo de Surtling, Que aplasta y quema a sus oponentes	Чрезвычайно тяжелая булава, созданная из черного железа и ядра суртлинга, которое воспламенное сущностью Суртлинга. Сокрушайте и сжигайте тех, кто вам противостоит.																	一把由黑铁制成的极其沉重的狼牙棒和一个用苏特林精华点燃的苏林核心。 粉碎和烧毁那些反对你的人。										
MaceCoreGreatGreen_Name	Green Great Core Mace					Maza del nucleo verde	Большая булава с зеленым ядром																	绿色大核狼牙棒										
MaceCoreGreatGreen_Desc	An extremely heavy mace made with dark iron and a surling core ignited with the essence of a Surtling. Smash and burn those that oppose you. It is dyed Green.					Una maza extremadamente pesada forjada con hierro oscuro y un nucleo de Surtling, Que aplasta y quema a sus oponentes, esta teñida de verde	Чрезвычайно тяжелая булава, созданная из черного железа и ядра суртлинга, которое воспламенное сущностью Суртлинга. Сокрушайте и сжигайте тех, кто вам противостоит. Она окрашена в зеленый цвет.																	一把由黑铁制成的极其沉重的狼牙棒和一个用苏特林精华点燃的苏林核心。 粉碎和烧毁那些反对你的人。 它被染成绿色。										
MaceGraspUndying_Name	Grasp of Undying					Empuñadura Inmortal	Захваченное бессмертие																	不死之握										
MaceGraspUndying_Desc	The heart of a troll cursed with undeath, its severed arm grasping the still beating heart that pumps toxic blood, forever trapped in a state of undying.					El corazon de un troll maldito con la No-muerte, Su brazo cercenado mientras asia el corazon que latia, bombea la sangre toxica, quedando atrapado como un arma para la eternidad.	Сердце тролля, проклятое нежитью, её отрубленная рука сжимает все еще бьющееся сердце, качающее ядовитую кровь, навеки заточенное в бессмертном состоянии.																	巨魔的心脏被亡灵诅咒，它被切断的手臂抓住了仍在跳动的心脏，泵出有毒血液，永远被困在不死的状态中。										
SwordObsidianGreat_Name	Moder's Sorrow					Lamento de moder	Скорбь Матери																	现代人的悲哀										
SwordObsidianGreat_Desc	Moder's sorrow great made tangible through obsidian and the breath of the mountains.  Those that wield this can freeze the very souls of who they hit.					El lamento de moder se hizo tangible a traves de la obsidiana y el frio aliento de la montaña,  se dice que su golpe puede congerla el alma de sus rivales.	Великая скорбь Матери стала ощутимой посредством силе обсидиана и дыханию гор. Те, кто ей владеют, смогут заморозить даже самые сильные души тех, в кого она направлена.																	现代人的悲痛之大，透过黑曜石和山间的气息，变得有形。 那些使用它的人可以冻结他们击中的人的灵魂。										
SwordFlametalGreat_Name	Flametal Great Sword					Espada bastada de flametal	Большой огненный меч																	烈焰巨剑										
SwordFlametalGreat_Desc	This blade is crafted from flametal from the Ashlands, the flames dancing from its blade sizzle with an unnatural vigor.  Cuts with this would scorch soul and body alike.					Esta hoja esta creada con metal llameante de las tierras abrazadas, las llamas bailan por su hoja mmientras crepitan con una fuerza antinatural, Sus golpes quemara el cuerpo y el alma por igua.	Этот клинок изготовлен из Огнеметалла добитого в Пепельных землях, пламя танцующее на его лезвии, шипит неестественной силой. Порезы сделанные им, смогут опалить душу и тело.																	这把刀刃由灰烬之地的火焰制成，刀刃上舞动的火焰带着不自然的活力发出嘶嘶声。 用这个切割会烧焦灵魂和身体。										
SwordDragonSlayer_Name	Dragon Slayer					Mata dragones	Убийца Драконов																	屠龙者										
SwordDragonSlayer_Desc	It was too big to be called a sword. Massive, thick, heavy, and far too rough. Indeed, it was a heap of raw iron. The blacksmith Godot forged this under to orders to create something that could slay a dragon". It can be best described as a sharp maul, rather than a sword.  In Memory of Kentarou Miura, 11-07-1966 to 06-05-2021. May your memory, and your legacy live on."					Era demasiado grande para ser llamada Espada, Enorme, Gruesa, pesada y demasiado tosca, de hecho era un amasijo de metal oscuro. el herrero Godot forjo esto bajo las ordenes de crear algo que pudiera "matar a un dragon" Es mas facil describilar como maza con filo que como espada. (En memoria de Kentarou Miura, 11-07-1966 a 06-05-2021. Que tu memoria y tu legado sigan vivos)	«Он был слишком велик, чтобы называться мечом. Массивный, толстый, тяжелый и слишком грубый. Фактически, он был кучей сырого железа. Кузнец Годо выковал его по приказу, чтобы создать нечто, способное убить дракона. Его лучше всего можно описать как острую булаву, но не как меч.» В память о Миура, Кэнтаро, с 11.07.1966 по 06.05.2021. Пусть сохранится о тебе память и твое наследие.																	“它太大了，不能称为剑。又大又厚又重，而且太粗糙了。确实，它是一堆生铁。铁匠戈多为了制造可以“杀死龙”的东西而锻造了它 . 最好将它描述为一把锋利的槌子，而不是一把剑。纪念三浦健太郎，11-07-1966 至 06-05-2021。愿你的记忆和你的遗产永存。”										
SwordBoneGreat_Name	Body of the Devoted																																	
SwordBoneGreat_Desc	The twisted bones of those devoted to the ideology of the Undying, sacrificing their own bodies to create this weapon in order to reach the state of undying that they worshipped so intently. It seems to be indestructible, even healing the wielder slowly.																																	
FistBuckAndDoe_Name	Buck and Doe																																	
FistBuckAndDoe_Desc	Leather knuckle wraps with Eikthyr antlers strapped to the right hand, giving the name of Buck and the Doe for the right and left wraps. It seems to have an unsual power.																																	
FistBronze_Name	Bronze Knuckles																																	
FistBronze_Desc	A set of gauntlets fixed with bronze to not only protect the user's hands but also to help inflict more damage to those they hit.																																	
FistIron_Name	Iron Knuckles																																	
FistIron_Desc	A set of gauntlets fixed with iron to not only protect the user's hands but also to help inflict more damage to those they hit.																																	
